date,rate
2014-05-24,0.187636
2014-05-27,0.186061
2014-05-28,0.185746
2014-05-29,0.187463
2014-05-30,0.188828
2014-05-31,0.189303
2014-06-03,0.190098
2014-06-04,0.190798
2014-06-05,0.191498
2014-06-06,0.190214
2014-06-07,0.188863
2014-06-10,0.187086
2014-06-11,0.187282
2014-06-12,0.187045
2014-06-17,0.188357
2014-06-18,0.189667
2014-06-19,0.189762
2014-06-20,0.186924
2014-06-21,0.187559
2014-06-24,0.186821
2014-06-25,0.185189
2014-06-26,0.184759
2014-06-27,0.183908
2014-06-28,0.183243
2014-07-01,0.184418
2014-07-02,0.186506
2014-07-03,0.186616
2014-07-04,0.186318
2014-07-05,0.187029
2014-07-08,0.188357
2014-07-09,0.187561
2014-07-10,0.185689
2014-07-11,0.184379
2014-07-12,0.185573
2014-07-15,0.186984
2014-07-16,0.187264
2014-07-17,0.187386
2014-07-18,0.189603
2014-07-19,0.191570
2014-07-22,0.191184
2014-07-23,0.190910
2014-07-24,0.189670
2014-07-25,0.191138
2014-07-26,0.191006
2014-07-29,0.192588
2014-07-30,0.194169
2014-07-31,0.194656
2014-08-01,0.193640
2014-08-02,0.196239
2014-08-05,0.195872
2014-08-06,0.196675
2014-08-07,0.198408
2014-08-08,0.199163
2014-08-09,0.200264
2014-08-12,0.198052
2014-08-13,0.198280
2014-08-14,0.199023
2014-08-15,0.198008
2014-08-16,0.197799
2014-08-19,0.197958
2014-08-20,0.198360
2014-08-21,0.198989
2014-08-22,0.199581
2014-08-23,0.197774
2014-08-26,0.198462
2014-08-27,0.198548
2014-08-28,0.198548
2014-08-29,0.199469
2014-08-30,0.202910
2014-09-02,0.204926
2014-09-03,0.205198
2014-09-04,0.205091
2014-09-05,0.202208
2014-09-06,0.202862
2014-09-09,0.203767
2014-09-10,0.203435
2014-09-11,0.204311
2014-09-12,0.205356
